time,left,mid,right
621,0.99923184371072,0.99704618113571,0.99601051516786
622,0.99924284936174,0.99708850155937,0.99606767394977
623,0.99925369733085,0.99713021564311,0.99612401379728
624,0.9992643898772,0.9971713320742,0.99617954644357
625,0.99927492922761,0.99721185941542,0.99623428345369
626,0.99928531757695,0.99725180610686,0.99628823622701
627,0.99929555708869,0.99729118046771,0.99634141599956
628,0.99930564989526,0.99732999069795,0.99639383384642
629,0.99931559809857,0.99736824488009,0.99644550068397
630,0.9993254037704,0.99740595098081,0.99649642727217
631,0.99933506895284,0.9974431168527,0.99654662421686
632,0.99934459565875,0.99747975023579,0.99659610197189
633,0.99935398587211,0.99751585875924,0.99664487084136
634,0.99936324154852,0.99755144994291,0.99669294098173
635,0.99937236461553,0.99758653119891,0.99674032240393
636,0.99938135697309,0.99762110983316,0.99678702497547
637,0.9993902204939,0.99765519304689,0.99683305842251
638,0.99939895702387,0.99768878793819,0.99687843233181
639,0.99940756838244,0.99772190150341,0.99692315615282
640,0.99941605636298,0.99775454063869,0.99696723919959
641,0.99942442273318,0.99778671214136,0.99701069065271
642,0.99943266923538,0.99781842271135,0.99705351956126
643,0.99944079758699,0.99784967895262,0.99709573484466
644,0.99944880948078,0.9978804873745,0.99713734529453
645,0.9994567065853,0.99791085439305,0.99717835957654
646,0.99946449054516,0.99794078633243,0.99721878623221
647,0.99947216298143,0.99797028942615,0.99725863368066
648,0.99947972549196,0.99799936981846,0.99729791022041
649,0.99948717965168,0.99802803356555,0.99733662403107
650,0.99949452701297,0.99805628663683,0.99737478317505
651,0.99950176910599,0.99808413491622,0.99741239559928
652,0.99950890743893,0.99811158420331,0.9974494691368
653,0.99951594349842,0.99813864021461,0.99748601150844
654,0.99952287874975,0.99816530858471,0.99752203032439
655,0.99952971463725,0.9981915948675,0.99755753308583
656,0.99953645258453,0.99821750453727,0.99759252718646
657,0.99954309399482,0.9982430429899,0.99762701991404
658,0.99954964025125,0.99826821554395,0.99766101845192
659,0.9995560927171,0.99829302744178,0.99769452988055
660,0.99956245273616,0.99831748385064,0.9977275611789
661,0.99956872163294,0.99834158986374,0.99776011922597
662,0.99957490071299,0.99836535050134,0.99779221080222
663,0.99958099126314,0.99838877071174,0.99782384259092
664,0.99958699455179,0.99841185537239,0.99785502117963
665,0.99959291182916,0.99843460929081,0.99788575306151
666,0.99959874432758,0.99845703720567,0.99791604463667
667,0.9996044932617,0.99847914378774,0.99794590221356
668,0.99961015982878,0.99850093364087,0.99797533201022
669,0.99961574520891,0.99852241130294,0.99800434015562
670,0.9996212505653,0.99854358124684,0.9980329326909
671,0.99962667704447,0.99856444788136,0.99806111557065
672,0.99963202577652,0.9985850155521,0.99808889466417
673,0.99963729787537,0.99860528854244,0.99811627575664
674,0.99964249443896,0.99862527107437,0.99814326455037
675,0.99964761654953,0.99864496730938,0.99816986666595
676,0.99965266527377,0.99866438134937,0.99819608764347
677,0.99965764166313,0.99868351723743,0.99822193294363
678,0.99966254675397,0.99870237895875,0.9982474079489
679,0.99966738156781,0.99872097044141,0.99827251796461
680,0.99967214711154,0.99873929555723,0.99829726822011
681,0.99967684437762,0.99875735812253,0.99832166386981
682,0.99968147434427,0.99877516189897,0.99834570999428
683,0.99968603797573,0.99879271059431,0.99836941160129
684,0.9996905362224,0.99881000786319,0.99839277362686
685,0.99969497002108,0.99882705730789,0.9984158009363
686,0.99969934029513,0.99884386247907,0.99843849832521
687,0.9997036479547,0.99886042687653,0.99846087052048
688,0.99970789389688,0.99887675394992,0.99848292218127
689,0.99971207900592,0.99889284709946,0.9985046579
690,0.9997162041534,0.99890870967667,0.99852608220328
691,0.99972027019841,0.99892434498504,0.99854719955287
692,0.99972427798774,0.99893975628074,0.99856801434661
693,0.99972822835603,0.99895494677326,0.99858853091933
694,0.99973212212597,0.99896991962614,0.99860875354374
695,0.99973596010847,0.99898467795759,0.99862868643135
696,0.99973974310282,0.99899922484112,0.99864833373332
697,0.99974347189685,0.99901356330622,0.99866769954133
698,0.99974714726711,0.99902769633898,0.99868678788847
699,0.99975076997902,0.99904162688271,0.99870560274999
700,0.99975434078703,0.99905535783854,0.99872414804424
701,0.9997578604348,0.99906889206603,0.9987424276334
702,0.99976132965531,0.99908223238378,0.99876044532432
703,0.99976474917105,0.99909538157001,0.99877820486932
